Model,Metric_Class,precision,recall,f1-score,support
Logistic Regression,Obese,0.6798418972332015,0.8,0.7350427350427351,215.0
Logistic Regression,Underweight,0.6470588235294118,0.9705882352941176,0.7764705882352941,34.0
Logistic Regression,Overweight,0.7991266375545851,0.7393939393939394,0.7681007345225603,495.0
Logistic Regression,Healthy,0.8808411214953271,0.8452914798206278,0.8627002288329519,446.0
Logistic Regression,accuracy,0.7966386554621848,0.7966386554621848,0.7966386554621848,0.7966386554621848
Logistic Regression,macro avg,0.7517171199531314,0.8388184136271711,0.7855785716583854,1190.0
Logistic Regression,weighted avg,0.8038561627576251,0.7966386554621848,0.7978221459515563,1190.0
SVC,Obese,0.7361111111111112,0.7395348837209302,0.7378190255220418,215.0
SVC,Underweight,0.8,0.9411764705882353,0.8648648648648649,34.0
SVC,Overweight,0.7771317829457365,0.8101010101010101,0.7932739861523245,495.0
SVC,Healthy,0.9066985645933014,0.8497757847533632,0.8773148148148148,446.0
SVC,accuracy,0.8159663865546218,0.8159663865546218,0.8159663865546218,0.8159663865546218
SVC,macro avg,0.8049853646625373,0.8351470372908848,0.8183181728385115,1190.0
SVC,weighted avg,0.81893418592911,0.8159663865546218,0.8167979213827331,1190.0
Random Forest,Obese,0.7848101265822784,0.5767441860465117,0.6648793565683646,215.0
Random Forest,Underweight,1.0,0.7941176470588235,0.8852459016393442,34.0
Random Forest,Overweight,0.7115716753022453,0.8323232323232324,0.7672253258845437,495.0
Random Forest,Healthy,0.8615023474178404,0.8228699551569507,0.841743119266055,446.0
Random Forest,accuracy,0.7815126050420168,0.7815126050420168,0.7815126050420168,0.7815126050420168
Random Forest,macro avg,0.839471037325591,0.7565137551463795,0.7897734258395769,1190.0
Random Forest,weighted avg,0.7892371457463513,0.7815126050420168,0.7800347813642402,1190.0
